"dataset_ID","data_obtained","data_formatted","obtain_priority","dataset_name","retriever_code","Availability","data_source","system","climate","taxa","organism","location","CentralLatitude","CentralLongitude","CentralLatLon_FLAG","spatial_grain_value","spatial_grain_unit","spatial_grain_analysis_value","spatial_grain_analysis_unit","spatial_grain_decision_notes","spatial_sampling_method","spatial_sampling_notes","spatial_extent","spatial_extent_units","Temporal_grain","Temporal_grain_unit","analysis_grain_temporal","Analysis_grain_temporal_unit","temporal_grain_decision_notes","start_year","end_year","study_type","notes","Citation1","Citation2","Citation3","Citation4","Citation5","Citation6","Citation7"
234,"Y","Y",NA,"Powdermill","","Public","http://ecologicaldata.org/wiki/powdermill-biological-station-small-mammal-database","Terrestrial","Temperate","Mammal","Mammal","Powdermill Biological Station, Pennsylvania, USA",40.17074,-79.26017761,NA,10,"m",NA,"",NA,"","","1 ha","",0.5,"month",0.25,"year",NA,1979,"1999","","20+ years","Merritt J. 1999. Long Term Mammal Data from Powdermill Biological Station 1979-1999 knb-lter-vcr.67.17 (http://tropical.lternet.edu/knb/metacat/knb-lter-vcr.67.17/lter)","","","","","",NA
235,"N","N",2,"Plant and small-Mammal responses to large-herbivore exclusion in an African savanna: five years of the UHURU experiment. Ecology 95:787.","","Public","http://esapubs.org/archive/ecol/E095/064/","Terrestrial","Tropical","Plant","Plant","Mpala research center, Kenya",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",1,"year",NA,"",NA,1998,"2013","Experimental","Mammal exclosure experiment","Kartzinel et al. 2014","","","","","",NA
236,"Y","Y",NA,"Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977.","","Public","http://esapubs.org/archive/ecol/E094/084/metadata.php","Terrestrial","Temperate","Mammal","Mammal","Bosque Fray Jorge National Park, Chile",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",1,"month",NA,"",NA,1989,"2005","Experimental","Small-Mammal data collected with predator exclosure study. May show ENSO effect","Kelt et al. 2013","","","","","",NA
237,"Y","Y",3,"Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977. shrub and herbaceous Plant.","","Public","http://esapubs.org/archive/ecol/E094/084/metadata.php","Terrestrial","Temperate","Plant","Plant","Bosque Fray Jorge National Park, Chile",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",1,"month",NA,"",NA,1989,"2005","Experimental","Plant data collected with predator exclosure study. I used the annuals dataset. May show ENSO effect","Kelt et al. 2013","","","","","",NA
238,"Y","Y",NA,"Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977. shrub and herbaceous Plant.","","Public","http://esapubs.org/archive/ecol/E094/084/metadata.php","Terrestrial","Temperate","Plant","Plant","Bosque Fray Jorge National Park, Chile",NA,NA,1,NA,"",NA,"",NA,"","","Local","",0.33,"year",NA,"",NA,1989,"2002","Experimental","Seed data collected with predator exclosure study. I used the annuals dataset. May show ENSO effect.  Date listed as first of each month, but data only provided month; first of month added to allow for date object format.","Kelt et al. 2013","","","","","",NA
239,"Y","N",NA,"Marine microPlankton diversity database","","Public","http://esapubs.org/archive/ecol/E094/149/","Marine","Global","Plankton","Plankton","Predominantly North and South Atlantic",NA,NA,NA,NA,"",NA,"",NA,"","","Global","",NA,"",NA,"",NA,1992,"2002","","","Sal et al. 2013","","","","","",NA
240,"N","N",0,"Antarctic breeding Bird survey","","Public","http://esapubs.org/archive/ecol/E094/243/","Marine","Polar","Bird","Bird","Antarctica",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,1994,"2013","Observational","This may not be that useful because there are only 7 species present.","Lynch et al. 2013","","","","","",NA
241,"Y","Y",NA,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.","EA_kenner2013","Public","http://esapubs.org/archive/ecol/E094/244/#data","Marine","Temperate","Benthos","Benthos","San Nicolas Island",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",0.5,"year",1,"year",NA,1980,"2011","Observational","Includes a big ENSO event and reintroduction of sea otters","Kenner et al. 2013","","","","","",NA
242,"Y","Y",NA,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.","EA_kenner2013","Public","http://esapubs.org/archive/ecol/E094/244/#data","Marine","Temperate","Fish","Fish","San Nicolas Island",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",0.5,"year",1,"year",NA,1980,"2011","Observational","Benthos Fish. Includes a big ENSO event and reintroduction of sea otters. Dataset 243 is from the same site, but higher up in the water column.","Kenner et al. 2013","","","","","",NA
243,"Y","Y",NA,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.","EA_kenner2013","Public","http://esapubs.org/archive/ecol/E094/244/#data","Marine","Temperate","Fish","Fish","San Nicolas Island",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",0.5,"year",1,"year",NA,1980,"2011","Observational","This is the mid-water Fish for the Kenner study, likely should not be considered independent of Dataset 242, which is at the same site but lower in the water column. ","Kenner et al. 2013","","","","","",NA
244,"Y","Y",NA," A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.","EA_kushner2013","Public","http://esapubs.org/archive/ecol/E094/245/","Marine","Temperate","Benthos","Benthos","California Channel Islands",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",NA,"",NA,"",NA,1982,"2011","Observational","","Kushner et al. 2013","","","","","",NA
245,"N","N",1,"A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.","EA_kushner2013","Public","http://esapubs.org/archive/ecol/E094/245/","Marine","Temperate","Fish","Fish","California Channel Islands",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",NA,"",NA,"",NA,1982,"2011","Observational","Transect count","Kushner et al. 2013","","","","","",NA
246,"Y","Y",NA,"A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.","EA_kushner2013","Public","http://esapubs.org/archive/ecol/E094/245/","Marine","Temperate","Fish","Fish","California Channel Islands",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",NA,"",NA,"",NA,1982,"2011","Observational","Roving Fish count. Likely should not be considered independent of COM02S","Kushner et al. 2013","","","","","",NA
247,"N","N",3,"Mosquitoes of North America with emphasis in the midwestern United States: long-term occurrence patterns. Ecology 94:1433.","","Public","http://esapubs.org/archive/ecol/E094/126/","Terrestrial","Temperate","Arthropod","Insect","North America",NA,NA,NA,NA,"",NA,"",NA,"","","Continental","",NA,"irregular",NA,"",NA,1969,"2009","Observational","Mosquitoes! There are a lot of records, but much of these data will likely not be usable .","Hellmann et al. 2013","","","","","",NA
248,"N","N",1,"SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance","EA_reed2012","Public","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sbc.17.27","Marine","Temperate","Fish","Fish","Santa Barbara coast and Channel Islands",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",1,"year",1,"year",NA,2000,"2012","Observational","","Reed 2013","","","","","",NA
249,"Y","Y",NA,"North Temperate Lakes LTER: Fish Abundance 1981-current","EA_NTL2012","Public","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-ntl.7.10","Aquatic","Temperate","Fish","Fish","North Temperate Lake LTER",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",0.5,"year",1,"year",NA,1981,"2012","Observational","","NTL LTER 2012","","","","","",NA
250,"Y","Y",NA,"Stream fish assemblage stability in a southern Appalachian stream at the Coweeta Hydrologic Laboratory from 1984 to 1995","EA_grossman2007","Public","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cwt.3047.13","Aquatic","Temperate","Fish","Fish","Coweeta Long Term Ecological Research Program, NC",NA,NA,NA,NA,"",NA,"",NA,"","","Local","",0.5,"month",NA,"",NA,1984,"1995","Observational","","Coweeta LTER 2007","","","","","",NA
251,"Y","N",NA,"Antarctica seabird census","EA_fraser2014","Public","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-pal.100.1","Marine","Polar","Bird","Bird","Antarctica",NA,NA,NA,NA,"",NA,"",NA,"","","Regional","",1,"year",1,"year",NA,1993,"2011","Observational","Counts from ships. Count data includes mammal observations.","","","","","","",NA
252,"Y","Y",NA,"Sevilleta LTER arthropod data","EA_lightfoot2010","Public","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sev.29.175390","Terrestrial","Temperate","Arthropod","Arthropod","Sevilleta LTER, NM",34.331,-106.376,NA,NA,"",NA,"",NA,"","","Local","",0.5,"month",1,"year",NA,1992,"2004","Observational","One of the sites ends in 2001 (another starts up then but should be ignored)","Lightfoot et al. 2010","","","","","",NA
253,"Y","N",NA,"Kellogg LTER seed bank","","Public","http://lter.kbs.msu.edu/datatables/23","Terrestrial","Temperate","Plant","Seed","Michigan, USA",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,1992,"2002","","","","","","","","",NA
254,"","",NA,"Portal Rodents","Y","Public","http://esapubs.org/archive/ecol/E090/118/metadata.htm","Terrestrial","Temperate","Mammal","Rodents","Portal, AZ",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,NA,"","","","Ernest et al. ","","","","","",NA
255,"","",NA,"Hinkley Point fish","","Public","http://www.nature.com/nature/journal/v422/n6933/full/nature01547.html","Marine","Temperate","Fish","Fish","Hinkley Point, Bristol Channel, UK",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,NA,"","","","Magurran and Henderson 2003","","","","","",NA
256,"","",NA,"Elba island butterflies","","Public","","Terrestrial","Temperate","Arthropod","Butterflies","Elba island, Italy",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,NA,"","","","Dapporto 2009","","","","","",NA
257,"","",NA,"Ireland amphipods","","","http://www.sciencedirect.com/science/article/pii/0022098196000305","Marine","Temperate","Arthropod","Amphipods","Lough Hyne, Ireland",50.51666667,9.3,NA,NA,"",NA,"",NA,"","","","",1,"month",1,"month",NA,1984,"1985","","","Costello and Myers 1996","","","","","",NA
258,"Y","N",NA,"2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Species Composition Study (2004- ) ","","Public","http://sev.lternet.edu/data/sev-166","Terrestrial","Temperate","Plant","Plant","Sevilleta LTER, NM",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,NA,"","","","","","","","","",NA
259,"N","N",2,"Portal Plants, winter","","","http://esapubs.org/archive/ecol/E090/118/metadata.htm","Terrestrial","Temperate","Plant","Plant","Portal, AZ",NA,NA,NA,NA,"",NA,"",NA,"","","","",NA,"",NA,"",NA,NA,"","","","","","","","","",NA
260,"N","N",NA,"Mediterranean tintinnid ciliates","","","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2008.02046.x/abstract","Marine","Temperate","Plankton","Tintinnid ciliates","Northwest Mediterranean",43.41666667,8,NA,NA,"",NA,"",NA,"","","","",1,"day",1,"day",NA,2004,"2004","Observational","","Dolan et al. 2009. Dynamics of core and occasional species in the marine plankton: tintinnid ciliates in the north-west Mediterranean Sea. Journal of Biogeography 36: 887-895.","","","","","",NA
